Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"Heartstopper, Volume Three",Alice Oseman,"",9781444952773,paperback,read,,2020/02/08,2020/02/08,1,"relaxing, hopeful, emotional",medium,,Yes,Yes,Yes,It's complicated,5.0,"","",,"",Yes
Days of Blood & Starlight,Laini Taylor,"",,,read,2017/10/20,2017/10/20,2017/10/20,1,"",,,,,,,4.0,,"",,"",No
"The Galaxy, and the Ground Within",Becky Chambers,"",9781473647664,hardcover,read,2021/03/15,2021/03/17,2021/03/15-2021/03/17,1,"adventurous, hopeful, reflective",slow,Character,Yes,Yes,Yes,Yes,5.0,"<div>I love the Wayfarers books so much and I'm sad that this was was final book. I'm also happy because I thought Record of a Spaceborn Few was the final book so this feels like a bonus! I went in without reading any descriptions of the book so I had no expectations other than it would be a Wayfarers book. <br><br>Following the pattern of extremely character focused books, we get introduced to a mostly new set of characters (we've met one of them before). This time none of the characters are human and we again get to see a different snapshot of the universe. During a layover while waiting for the next leg of their journey, three separate travellers get trapped at the establishment they were stopping off at. Their host is desperate to try and make things easier for them and her child reluctantly helps. <br><br>The character dynamics were as always spot on and this time we confront head on the preconceptions and prejudices the different species have about eachother. Seeing these characters deal with the emergency, get to know eachother and grow as people was basically the entire book. It was wonderful, at points I laughed at points I was sad but as always the overall tone is heartwarming and full of hope. </div>","","",physical-copy,Yes
Spinning Silver,Naomi Novik,"",9780399180989,hardcover,read,,2018/07/26,2018/07/26,1,"",,,,,,,4.0,I love the different threads in this book and how they weave together. The interaction between the magical world of the Staryk and the everyday world is wonderful. This probably would have been 5 stars but I found two of the point of view characters' voices really similar and it sometimes jolted me out of the story figuring out who was speaking.,"",,"",Yes
Terrier,Tamora Pierce,"","",hardcover,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
Eragon,Christopher Paolini,"",9780756949143,hardcover,read,,"","",1,"",,,,,,,3.0,,"",,"",No
Age of Assassins,R.J. Barker,"",,,to-read,2018/12/16,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Library of the Dead,T. L. Huchu,"",9781250767769,hardcover,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Girl from Everywhere,Heidi Heilig,"",,,to-read,2021/04/18,"","",0,"",,,,,,,,,"",,"",No
Buffy the Vampire Slayer: The Long Way Home,"Georges Jeanty, Joss Whedon","",9781593078225,paperback,read,2018/08/12,2019/04/28,2019/04/28,1,"",,,,,,,3.0,,"",,"",Yes
Shades of Magic Vol. 3: The Rebel Army,V.E. Schwab,"",,,to-read,2020/08/19,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Once & Future Vol. 2,Kieron Gillen,Dan Mora (Illustrator),9781684156375,paperback,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
The Children of Húrin,J.R.R. Tolkien,"Christopher Tolkien (Contributor), Alan Lee (Illustrator)",9780007246229,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Beneath the Sugar Sky,Seanan McGuire,"",9780765393586,hardcover,read,2018/12/14,2018/12/16,2018/12/16,1,"",,,,,,,4.0,,"",,"",Yes
Passing Strange,Ellen Klages,"",9780765389527,paperback,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
The Furthest Station,Ben Aaronovitch,"","",hardcover,to-read,2019/08/12,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Nubia: Real One,L. L. McKinney,Robyn Smith (Illustrator),9781401296407,paperback,read,2021/01/12,2021/03/26,2021/03/26-2021/03/26,1,"adventurous, inspiring",fast,A mix,Yes,Yes,Yes,No,5.0,"<div>Nubia is awesome, she is brave and cares so fiercely. She is also sick of hiding who she is but whenever people find out about her super strength she is villainised. The story deals with racism, strong friendships, protective parents and like most origin stories using your powers to protect people. It also has great art and really well developed characters. I immediately wanted more but I have no idea if this is a series or not. I can't find any information about future books but it'll be a real shame not to continue with a story that exemplifies what this format is capable of.</div>","","",physical-copy,Yes
Shatterglass,Tamora Pierce,"",,,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
Elatsoe,Darcie Little Badger,Rovina Cai (Illustrator),9781646140053,hardcover,read,2020/08/31,2020/10/20,2020/10/20-2020/10/20,1,"mysterious, emotional, adventurous",medium,,Yes,Yes,Yes,No,4.5,"<div>I read this one in a day and I really enjoyed it. I love how different types of magic were woven into the story and Ellie's (Elatsoe's) own abilities with ghosts were both cool and scary. The book starts off slow but as things build up you go on a journey filled with grief, tension and fear as well as family, friendship and lighter moments.<br><br>The focus on stories was also great, shown as a vehicle for learning and passing down knowledge as well as being used as entertainment. We get to know Ellie and her family, with stories passed down through the generations and see how they influence her life today.<br><br>It's a fantasy, a murder mystery and sort of feels like an origin story. I'd honestly love a series of books/a TV show where Elatsoe solves supernatural mysteries alongside her ghost dog.</div>","","",ya-sff-by-aoc-2020,Yes
Siege and Storm,Leigh Bardugo,"",9781250044433,paperback,read,2018/06/27,2018/06/28,2018/06/28,1,"",,,,,,,3.0,,"",,"",Yes
Recursion,Blake Crouch,"","",,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Space Opera,Catherynne M. Valente,"",9781472115072,hardcover,read,2019/05/24,2019/05/31,2019/05/31,1,"",,,,,,,3.0,"I think this book was great but it's also not the type of book I find easy to read. I wasn't particularly gripped by the plot but it made me laugh and several times I reread paragraphs just to appreciate how well a point was made. There was a huge amount of apt commentary on so many different aspects of life that I really enjoyed.  My favourite parts were mainly about the people on earth. There were moments I really connected with both Dess and Oort. I was surprised by how much Dess having a similar culture to my own impacted my reading, it really grounded the story for me in a way I haven't experienced much before. What I found hard to focus on was the fun, completely ridiculous world building, my brain tries to visualise everything and at times there was so much detail I would get tired and just zone out. It meant that the book took me a long time to read and cut back on my enjoyment of it.","",,"",No
Witches Steeped in Gold,Ciannon Smart,"",9781471409585,paperback,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Realms of the Gods,Tamora Pierce,"",,,read,2020/04/26,2020/04/28,2020/04/28,2,"",,,,,,,4.0,,"",,"",No
Black Panther: Long Live the King #1,"Nnedi Okorafor, André Lima Araújo","","",digital,read,2019/07/28,2019/07/29,2019/07/29,1,"",,,,,,,3.0,A fun read and I enjoyed it but nothing that particularly grabbed me. The stories in it felt really independent and not part of a cohesive whole.,"",,"",No
An Ember in the Ashes,Sabaa Tahir,"",9780698176461,digital,to-read,2018/08/05,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Golem and the Jinni,Helene Wecker,"",9780062110831,hardcover,to-read,2017/07/31,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Tentacle,"Achy Obejas, Rita Indiana","","",,to-read,2020/02/23,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Starlight Watchmaker,Lauren James,"",,,read,2020/01/19,2020/01/19,2020/01/19,1,"hopeful, adventurous",medium,,Yes,Yes,It's complicated,No,4.0,<div>I just read this in one sitting and it's super cute and heartwarming. I feel like I've just been hugged by a book. </div>,"",,"",Yes
The Child Queen: The Tale of Guinevere and King Arthur,Nancy McKenzie,"",,,read,2013/01/18,"","",1,"",,,,,,,4.0,,"",,"",No
Loveless,Alice Oseman,"",9781338751932,hardcover,read,2020/07/07,2020/07/10,2020/07/10,1,"hopeful, funny, emotional",medium,,Yes,Yes,Yes,Yes,5.0,"<div>I read this in one sitting, Alice Oseman is a master at writing friendships!</div>","",,"",Yes
The Obsidian Tower,Melissa Caruso,"",,,to-read,2020/12/06,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Ten Thousand Doors of January,Alix E. Harrow,"",9780316421997,hardcover,read,2020/07/28,2020/07/13,"2020/07/13, 2019/10/08",2,"reflective, mysterious, hopeful, emotional, adventurous",medium,,Yes,Yes,Yes,It's complicated,5.0,"You know when there's a story and you need to know what happens but you also don't want it to end. When there are characters whose pain you feel, whose hope and desperation become your own. Who you wish you could help and protect even though you're reading a book and that is not how this works. When it all seems real, and everything slots perfectly into place.<br><br>That's this book for me. I adored every second of it. It was beautiful.","",,"",Yes
The Complete Maus,Art Spiegelman,"","",,to-read,2019/12/15,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Mirror Season,Anna-Marie McLemore,"",9781250821171,paperback,read,2021/05/20,2021/06/12,2021/06/11-2021/06/12,1,"dark, emotional, hopeful",medium,Character,Yes,Yes,Yes,It's complicated,5.0,"<div>This was incredible, I raced through it in two sittings and then just sat there in awe of the emotional journey this book takes you on. Sexual assault is a very difficult topic to write about and this books shows the pain but also a journey to a place where that pain isn't everything. </div>","","",physical-copy,Yes
City of Ghosts,Victoria Schwab,"",9781338530728,paperback,read,2019/09/28,2019/12/15,2019/12/15,1,"",,,,,,,4.0,I started reading City of Ghosts whilst on a work trip to Edinburgh and it's really gotten me excited about exploring the city. It's an easy read but is wonderfully creepy and tense. I loved the exploration of being scared of something and yet drawn to it at the same time. Definitely wouldn't want to be in Cassidy's position but I'm looking forward to reading about what happens to her next.,"",,"",Yes
Yesterday Is History,Kosoko Jackson,"",9781492694342,hardcover,to-read,2021/05/24,"","",0,"",,,,,,,,,"",,"",No
State Tectonics,Malka Ann Older,Christine Marshall (Narrator),9781250306548,audio,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
In an Absent Dream,Seanan McGuire,"",B079DVJV2W,digital,read,2019/04/13,2019/04/13,2019/04/13,1,"",,,,,,,5.0,"The Wayward Children series caught me by surprise, I didn't expect to love it this much but there's something so alluring about a world that will only open its doors to someone who it knows can belong  and something so heartbreaking about when it goes wrong. <br><br>In this installment we go to the Goblin Market. A place where there are strict rules and if you break them the market will manifest its own form of justice. It's a wonderful yet terrifying place and Lundy has to decide by the age of 18 if she wants to stay for good. If you've read the first book you already know how the story will end and I think that makes the book even more impressive. We see her grow, we explore the market with her, we see her lose and learn. In the end her dilemma just feels so real and so human despite already knowing the outcome.","",,"",Yes
Shards of Honour,Lois McMaster Bujold,"",,,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"",No
"Words of Radiance, Part 2",Brandon Sanderson,"",9780575093324,paperback,read,2017/12/30,2017/12/31,2017/12/31,1,"",,,,,,,5.0,,"",,"",No
A Closed and Common Orbit,Becky Chambers,"",9781473621442,hardcover,read,,2017/12/13,2017/12/13,1,"",,,,,,,4.0,,"",,"",No
We Should All Be Feminists,Chimamanda Ngozi Adichie,"",B00L0F01NK,digital,read,2020/02/28,2020/02/28,2020/02/28,1,"inspiring, informative",medium,,,,,,4.0,"","",,"",Yes
The Word for World is Forest,Ursula K. Le Guin,"",9780425051856,paperback,read,2020/02/23,2020/09/03,2020/09/03,1,"dark, challenging",medium,,It's complicated,No,It's complicated,Yes,3.0,"<div>For a short book this was a bit of a chore to get through. It's a lesson rather than a story but that's not necessarily a bad thing.<br><br>What made it tiring for me was that the chapters from the point of view of the villain were full of sexist, racist and fatphobic comments and I just didn't want to have to repeatedly read his arrogant, vile thoughts. I would have stopped reading for this reason if it hadn't been for a book club. The other two contrasting point of view characters were more nuanced and there was some interesting world building, particularly around the indigenous culture but it was a book with a point to make and everything else felt secondary. <br><br>The point is an important one, about the evils of colonisation and the harm of seeing people different to yourself as lesser. The author says in her introduction she wrote it when she felt helpless protesting against the Vietnam War and knew that the moralising aspects are visible. I can imagine this being particularly powerful in that time and to anyone who has a connection with that history. <br><br>The only other book I've read by Le Guin is The Left Hand of Darkness and this one pales in comparison so I think part of my struggle was one of mismatched expectations. If you're interested in the topic, I would recommend but know what you're getting into. </div>","",,"",Yes
The Worst of All Possible Worlds,Alex White,"",9780316412131,digital,read,2020/08/19,2020/12/23,2020/12/18-2020/12/23,1,"adventurous, dark, emotional, tense",fast,,No,Yes,Yes,Yes,5.0,"","","",physical-copy,Yes
Wolf-Speaker,Tamora Pierce,"",,,read,2020/03/21,2020/03/21,2020/03/21,2,"",,,,,,,4.0,,"",,"",Yes
The Court of Broken Knives,Anna Smith Spark,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
And Then There Were None,Agatha Christie,"",9780312330873,paperback,to-read,2017/05/01,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Rogue Protocol,Martha Wells,"",9781250185433,digital,read,2020/11/25,2021/06/18,2021/06/16-2021/06/18,1,"adventurous, funny",fast,A mix,No,Yes,No,No,4.0,"","","","kindle, ebook",Yes
Royal Assassin,Robin Hobb,"",9780007562268,paperback,read,2013/01/18,"","",1,"",,,,,,,5.0,,"",,"",No
Michi Saagiig Nishnaabeg: The History of Curve Lake First Nation,"Leanne Betasamosake Simpson, Doug Williams","",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
"Skyward, Vol. 1: My Low-G Life",Joe Henderson,"",9781534308336,paperback,to-read,2020/11/28,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
To Kill a Kingdom,Alexandra Christo,"","",,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
A Skinful of Shadows,Frances Hardinge,"",9781419725722,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Handmaid's Tale,Margaret Atwood,"","",,read,,2017/07/30,2017/07/30,1,"",,,,,,,3.0,"The world painted in this book is vivid. Through a wandering, at points almost lyrical narrative you slowly build up a picture of the oppressive Gilead. It's not about an amazing hero or the flame of a revolution. You follow a regular girl, trying to cope with what has happened. The story is fractured, switching tense often between what is happening, how things used to be and hints of the journey between them. There are brief glimpses of a revolution, tantalising at the edges of the story but apart from that, for Offred the world is bleak. This is the only reason I haven't given this more stars. I loved the writing but I needed hope.  I wanted the story behind the revolution, of Ofglen or even Moria as more things would have happened.  Offred's story with a lack of hope, with scared acceptance on one hand and small bouts defiance on the other was strangely brutal. It's definitely a book that'll stay with me but I can't say it was enjoyable to read.","",,"",No
Our Dark Duet,Victoria Schwab,"",9780062672032,paperback,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Phoenix Extravagant,Yoon Ha Lee,"",9781781087947,hardcover,read,2020/12/30,2021/02/19,2021/02/16-2021/02/19,1,"adventurous, emotional",medium,Character,Yes,Yes,Yes,It's complicated,5.0,"<div>The main character Jebi is an artist. They are talented, a bit naive but jobless and desperate so they accept a job working for the government set up by the people who invaded their country. It's a job working with automaton soldiers that are powered by magic. <br><br>Now the sci-fi fantasy mash up of machines powered by magic pigments was SO COOL, especially the sentient dragon Arazi who I loved. The entire construction of the magic system was so detailed and so unlike anything I've read. Parts of it were reminiscent of programming, it was twisted and different but there was still enough there to make it feel tangible. <br><br>The rest of the world building and politics is also really well done but my favourite part was the characters and the relationships between them. I loved the complex relationship that Jebi has with their sister and how it changes. I also really liked the romance which is rare for me to say, there were so many layers and conflicting feelings.<br><br>The only thing that made me contemplate dropping my rating a bit was that it's a standalone and I want more! There is quite a lot of stuff unresolved at the end, we get a glimpse into the world and see Jebi go on a journey and grow as a character but the overall conflict is still going and it's frustrating knowing we won't get to see any of it. In the end, I loved it anyway and it gets a full five stars from me.<br><br>If you've read Ninefox Gambit, I feel obligated to say this is nothing like that. If you liked that series, this is completely different so don't come in expecting something of the same scope. If you didn't like it (I was not a big fan), again this is completely different, it's worth trying Phoenix Extravagant if you're interested in the premise. </div>","","","physical-copy, adult-sff-by-aoc-2020",Yes
Thud!,Terry Pratchett,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
"Destinies Entwined (Legacy of the Cerafym, #1)",Faith Rivens,"",,,to-read,2020/11/16,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
In the Labyrinth of Drakes,Marie Brennan,"",9781466856981,digital,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Chimes at Midnight,Seanan McGuire,"",9781472116314,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
PET,Akwaeke Emezi,"",9780571355112,paperback,read,2020/02/23,2020/02/24,2020/02/24,1,"reflective, emotional, adventurous",fast,,Yes,Yes,Yes,Yes,4.5,"<div>Such a great story. I felt like I got to know Jam so well. Her struggle to vocalise, her fear of doing the wrong thing and her drive to protect the people she cares about. I loved the exploration of what makes a monster and how it's nothing to do with how it looks.</div>","",,"",Yes
Prince of Dreams: A Tale of Tristan and Esyllte,Nancy McKenzie,"",,,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
Harrow the Ninth,Tamsyn Muir,"",9781250313225,hardcover,currently-reading,2020/08/31,"","",0,"",,,,,,,,,"",,"physical-copy, priority",Yes
Jonny Appleseed,Joshua Whitehead,"",,,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
A Memory Called Empire,Arkady Martine,"",9781250186454,digital,read,2020/03/04,2020/03/07,2020/03/07,1,"tense, mysterious, challenging",medium,,Yes,Yes,Yes,Yes,5.0,"<div>Stunning. I loved this one, the world building was incredible and I'll got so invested in the main character Mahit. It was so intricate and I was so drawn in by the mystery and the intrigue. My favourite part was how real all of the characters feel. Even the side characters have depth and the relationships are complicated and conflicted. It took me longer to read than I expected as it's a book that requires concentration and I wanted to take my time and enjoy the writing. There's a big focus on language and poetry which I found fascinating. Due to this, I didn't finish it in time for my book club meeting so I heard major spoilers for the end. Despite knowing the result, I was still completely gripped and the moment itself still gave me shivers. I can't wait for the next book!</div>","",,"",Yes
This Winter,Alice Oseman,"","",,read,2020/11/09,2020/12/05,2020/12/05-2020/12/05,1,"emotional, reflective",medium,,Yes,Yes,Yes,Yes,3.5,"","","",physical-copy,Yes
Vengeful,V.E. Schwab,"",9780765387523,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Ruin and Rising,Leigh Bardugo,"",9780805094619,hardcover,read,2018/07/09,2018/07/10,2018/07/10,1,"",,,,,,,4.0,,"",,"",Yes
Legion and the Emperor's Soul,Brandon Sanderson,"",9780575116344,paperback,to-read,2019/10/23,"","",0,"",,,,,,,,,"",,physical-copy,Yes
We Hunt the Flame,Hafsah Faizal,"",9780374311544,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
A Bad Deal for the Whole Galaxy,Alex White,"",,,read,2020/01/26,2020/01/29,2020/01/29,1,"emotional, dark, adventurous",fast,,Yes,Yes,Yes,Yes,5.0,"<div>This was such a fantastic second book. Full of action, high stakes, scary villains and dramatic fight scenes. I love the crew of the Capricious and it was great getting to know them better and seeing how their dynamic changes after the events of the last book. I love getting to see how their perspectives differ on what they are doing and the nuances of how their backgrounds affect them. I can't wait for the final book!</div>","",,"",Yes
Matilda,Roald Dahl,Quentin Blake (Illustrator),9780141301068,paperback,read,2015/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
The Devil Makes Three,Tori Bovalino,"",9781645672357,hardcover,to-read,2021/10/31,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Blade Itself,Joe Abercrombie,"",9780575079793,paperback,to-read,2014/08/29,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
"Saga, Vol. 9","Fiona Staples, Brian K. Vaughan","","",,read,,2019/07/14,2019/07/14,1,"",,,,,,,5.0,<b>NOOOOOOOOO!</b> What! <i>How could they do this to us?!</i> Why?! Help.,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220690,paperback,did-not-finish,2019/05/14,"","",0,"",,,,,,,,,"",,"",No
The Bands of Mourning,Brandon Sanderson,"","",,read,2017/01/05,2017/01/05,2017/01/05,1,"",,,,,,,5.0,,"",,"",No
The Colour of Magic,Terry Pratchett,"",9780552166591,paperback,read,,2017/11/30,2017/11/30,1,"",,,,,,,3.0,,"",,"",No
"Saga, Vol. 5","Fiona Staples, Brian K. Vaughan","","",,read,,2019/05/23,2019/05/23,1,"",,,,,,,5.0,,"",,"",No
Inkheart,Cornelia Funke,Anthea Bell (Translator),"",,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
The Tethered Mage,Melissa Caruso,"",B06XKQ9KB5,digital,to-read,2020/11/16,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
"The Legend of Korra: Turf Wars, Part Two","Irene Koh, Michael Dante DiMartino","",,,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"comixology, ebook",Yes
King of Scars,Leigh Bardugo,"",9781250142283,hardcover,read,2019/02/06,2019/02/13,2019/02/13,1,"",,,,,,,4.0,"Zoya was probably the point of view that surprised me the most in this book. I expected to love Nicolai and Nina but I never really paid that much attention to Zoya previously except to find her a bit annoying. I was wrong, she is magnificent. The character building is the main strength in this book, all the point of view characters had so much depth and I felt for all of them. Not my favourite in this world (that is still Crooked Kingdom) but it was great and I wish I had the next one right now.","",,"",Yes
The Amber Spyglass,Philip Pullman,"","",,read,,"","",1,"",,,,,,,4.0,"","",,"",No
Shadow and Bone,Leigh Bardugo,"",9781250027436,paperback,read,2018/06/05,2018/06/06,2018/06/06,1,"",,,,,,,3.0,,"",,"",Yes
The Empire of Gold,S.A. Chakraborty,"",9780008239527,paperback,to-read,2020/06/18,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Harry Potter and the Deathly Hallows,J.K. Rowling,Mary GrandPré (Illustrator),9780545010221,hardcover,read,,"","",1,"",,,,,,,4.0,,"",,"",No
Moon Over Soho,Ben Aaronovitch,"","",,read,2018/03/27,2018/03/31,2018/03/31,1,"",,,,,,,4.0,,"",,"",No
Cage of Souls,Adrian Tchaikovsky,"",,,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ebook",Yes
Monstrous Design,Kat Dunn,"",,,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
The Prison Healer,Lynette Noni,"",9780358434559,hardcover,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"ebook, kobo",Yes
Carpe Jugulum,Terry Pratchett,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Planetfall,Emma Newman,"",9781473223868,digital,read,2018/04/27,2018/05/01,2018/05/01,1,"",,,,,,,4.0,,"",,"",Yes
The Fifth Season,N.K. Jemisin,"",9780316229296,paperback,read,2017/04/07,2017/11/07,2017/11/07,1,"",,,,,,,5.0,"I love the world building in this book and the magic and pretty much everything else! I had no idea what to expect going in and I think that made it better so this review might be annoyingly vague... What really threw me when I started reading was that one of the point of views was in the second person which was really, REALLY strange. That combined with the disjointed timelines kept me in a constant state of confusion for most of the book which may not sound like a good thing but it definitely was. She tells you just enough to keep you hooked but not quite enough to work out exactly what is going on until certain points where everything comes together beautifully. It is detailed, dark, shocking at some points and downright strange in others. Recovery time needed before jumping into the next one.","",,"",No
Under the Pendulum Sun,Jeannette Ng,"",9780857667274,paperback,read,2018/05/14,2019/07/24,2019/07/24,1,"",,,,,,,3.0,"I really enjoyed the atmosphere of this book, it's a beautifully dark and gothic world full of mysteries. At times I felt myself really being drawn into the plot but often I would find myself drifting away as I wasn't invested enough in the characters to stay focused when the plot was wandering. There was also a prominent romance and the focus on that sometimes annoyed me. It definitely had its moments, some really striking imagery and interesting twists but it didn't quite work for me, maybe if I was more interested in theology it would have landed better.","",,"",No
The Twits,"Roald Dahl, Quentin Blake","","",paperback,read,2015/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
Thorn,Intisar Khanani,"",9780062835734,digital,to-read,2020/11/25,"","",0,"",,,,,,,,,"",,"kindle, ya-sff-by-aoc-2020, ebook",Yes
Bloodhoney,"Paul Stewart, Chris Riddell","",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
Do You Dream of Terra-Two?,Temi Oh,"",,,read,2019/11/03,2019/11/09,2019/11/09,1,"reflective, emotional",slow,,Yes,It's complicated,Yes,Yes,3.0,"I have mixed feelings about this one. On one hand, I really liked the the exploration what of it means to leave everything behind, how different people react differently and the impact on their mental health. On the other there were several things that really annoyed me throughout the book which threw me out and made things far less emotional for me. It started strong but as it went on the characters dynamics were a bit overblown and dramatic. The thing that bothered me most is slightly spoilery about a relationship so stop reading here if you wish. <br><br><br><br><br><br>__________________________________________<br><br>There's a character who is in quite a moving scene near the beginning where they don't want to have sex with their long term partner and make it clear that they have no interest in sex at all. I read them as asexual because of it but I don't think that was intended. They end up in another relationship where they happily did and it felt very ""you just need to find the right person"". I'm not sure what the intention of that subplot was but it made me a bit uncomfortable.","",,"",Yes
The Language of Thorns: Midnight Tales and Dangerous Magic,Leigh Bardugo,Sara Kipin (Illustrator),"",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
These Savage Shores,"Sumit Kumar, Ram V","",,,to-read,2021/01/12,"","",0,"",,,,,,,,,"",,"",No
Daggerspell,Katharine Kerr,"",,,to-read,2015/01/08,"","",0,"",,,,,,,,,"",,physical-copy,Yes
The Red Knight,Miles Cameron,"",,,to-read,2018/12/18,"","",0,"",,,,,,,,,"",,maybe-remove-from-tbr,Yes
Parable of the Sower,Octavia E. Butler,"",9780941423991,hardcover,read,2019/08/27,2019/09/14,2019/09/14,1,"",,,,,,,4.0,"A depressingly realistic dystopian future. It's a brutal read, full of horrors but also the occasional glimmer of hope. Lauren is tough, she's capable of doing whatever it takes to survive but also has compassion. The entire novel is written as her journal, which is often a technique that doesn't work for me but here it was really effective. It didn't feel complete though, feels like we're only partway through the story. I'm definitely going to read the sequel but maybe after a few less bleak reads.","",,"",Yes
Jade War,Fonda Lee,"","",,to-read,2020/08/21,"","",0,"",,,,,,,,,"",,"physical-copy, priority",Yes
The Bristling Wood,Katharine Kerr,"",,,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Mythos: The Greek Myths Retold,Stephen Fry,"",9780718188726,hardcover,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,"physical-copy, maybe-remove-from-tbr",Yes
The Earthsea Quartet,Ursula K. Le Guin,"","",,to-read,2019/08/03,"","",0,"",,,,,,,,,"",,physical-copy,Yes
Inheritance,Christopher Paolini,"",9780385616492,hardcover,read,2013/01/18,"","",1,"",,,,,,,3.0,,"",,"",No
A Spark of White Fire,Sangu Mandanna,"",,,read,2020/07/19,2020/07/25,2020/07/25,1,"emotional, adventurous",fast,,Yes,Yes,Yes,Yes,5.0,"<div>Wow! I was expecting this to be good but that was even better than I expected. I love Esmae so much and also the sentient warship Titania was amazing. I love how it incorporated the gods, curses, prophecies and vows from stories like the Mahabharata, I don't know it very well but I know it well enough to pick up on a lot of the references throughout the book which I really enjoyed. It's an easy read, full of foreshadowing, family politics, yearning, complicated emotions and pain. Also space battles and magical weapons.</div>","",,"",Yes
Uprooted,Naomi Novik,"",9780804179034,hardcover,read,2016/10/15,2017/12/07,2017/12/07,1,"",,,,,,,5.0,,"",,"",No
Marked,"P.C. Cast, Kristin Cast","",9780312360252,hardcover,read,2013/01/18,"","",1,"",,,,,,,2.0,,"",,"",No
Cinderella Is Dead,Kalynn Bayron,"",,,to-read,2020/11/11,"","",0,"",,,,,,,,,"",,ya-sff-by-aoc-2020,No
"Monstress, Vol. 3: Haven","Sana Takeda, Marjorie M. Liu","","",,read,2019/07/14,2019/07/27,2019/07/27,1,"",,,,,,,4.0,,"",,"",Yes
